DATE,Profit_Monthly_USD,Max_DD_Monthly_Pct,Max_DD_Monthly_USD,Equity_End,Equity_Start,Return_Monthly_Pct_Dynamic,Year,Month,Month_Name,Return_Monthly_Pct_Fixed,DD_Pct_Fixed
2021-01-31,32.1200000000008,-3.945253596482687,-397.15999999999985,10032.12,10000.0,0.32120000000000803,2021,1,Jan,0.32120000000000803,-3.9715999999999987
2021-02-28,85.25,-2.9092697821036273,-296.89999999999964,10117.37,10032.12,0.8497705370350433,2021,2,Feb,0.8524999999999999,-2.9689999999999963
2021-03-31,-204.0600000000013,-6.062586812648082,-630.6999999999989,9913.31,10117.37,-2.0169273239982455,2021,3,Mar,-2.0406000000000133,-6.306999999999989
2021-04-30,1117.8400000000001,-4.379346640200326,-455.59000000000015,11031.15,9913.31,11.27615297009778,2021,4,Apr,11.178400000000002,-4.555900000000001
2021-05-31,237.78000000000065,-2.4936700856664733,-280.0,11268.93,11031.15,2.1555322881113996,2021,5,May,2.377800000000007,-2.8000000000000003
2021-06-30,215.23999999999978,-3.506663298454618,-395.6200000000008,11484.17,11268.93,1.9100304997901287,2021,6,Jun,2.152399999999998,-3.9562000000000084
2021-07-31,-173.8799999999992,-2.1756034611121255,-249.85000000000036,11310.29,11484.17,-1.514084169774561,2021,7,Jul,-1.7387999999999921,-2.4985000000000035
2021-08-31,-269.83000000000175,-3.863666246668248,-443.71000000000095,11040.46,11310.29,-2.385703638014602,2021,8,Aug,-2.6983000000000175,-4.43710000000001
2021-09-30,337.40000000000146,-4.557577952956109,-523.3999999999996,11377.86,11040.46,3.0560320856196346,2021,9,Sep,3.3740000000000143,-5.233999999999996
2021-10-31,-43.38000000000102,-2.575444103588508,-299.630000000001,11334.48,11377.86,-0.38126677600182296,2021,10,Oct,-0.43380000000001023,-2.99630000000001
2021-11-30,183.76000000000022,-4.663700102543297,-542.5799999999999,11518.24,11334.48,1.6212477325823524,2021,11,Nov,1.8376000000000021,-5.4258
2021-12-31,678.460000000001,-2.07863480445117,-246.27000000000044,12196.7,11518.24,5.890309630638022,2021,12,Dec,6.78460000000001,-2.4627000000000043
2022-01-31,114.21999999999935,-2.0502030431658915,-251.97999999999956,12310.92,12196.7,0.9364828191232001,2022,1,Jan,1.1421999999999934,-2.5197999999999956
2022-02-28,135.63999999999942,-2.6503846737194756,-330.2699999999986,12446.56,12310.92,1.1017860566066502,2022,2,Feb,1.3563999999999943,-3.3026999999999864
2022-03-31,824.0200000000004,-2.223112041331013,-295.9200000000001,13270.58,12446.56,6.6204638068671215,2022,3,Mar,8.240200000000005,-2.959200000000001
2022-04-30,-182.52000000000044,-3.1697677196498875,-421.9300000000003,13088.06,13270.58,-1.375373193937269,2022,4,Apr,-1.8252000000000042,-4.219300000000003
2022-05-31,277.0,-3.1731483644815874,-422.3799999999992,13365.06,13088.06,2.1164328403139963,2022,5,May,2.77,-4.223799999999992
2022-06-30,17.420000000000073,-2.43516932161995,-334.02000000000044,13382.48,13365.06,0.13033985631190637,2022,6,Jun,0.17420000000000072,-3.3402000000000043
2022-07-31,519.3999999999996,-2.907544408462548,-411.84000000000015,13901.88,13382.48,3.8811939192137754,2022,7,Jul,5.193999999999996,-4.118400000000001
2022-08-31,411.14000000000124,-3.857734778351278,-546.4300000000003,14313.02,13901.88,2.957441727305956,2022,8,Aug,4.111400000000012,-5.464300000000003
2022-09-30,377.619999999999,-1.7455101663361374,-258.59000000000015,14690.64,14313.02,2.638297158810642,2022,9,Sep,3.77619999999999,-2.5859000000000014
2022-10-31,-271.09999999999854,-4.92605638010167,-742.0699999999997,14419.54,14690.64,-1.8453927126387861,2022,10,Oct,-2.710999999999985,-7.4206999999999965
2022-11-30,232.5,-5.006644902012595,-754.210000000001,14652.04,14419.54,1.6123954023498668,2022,11,Nov,2.325,-7.54210000000001
2022-12-31,351.0499999999993,-5.759477162068162,-874.3899999999994,15003.09,14652.04,2.3959121050720533,2022,12,Dec,3.510499999999993,-8.743899999999995
2023-01-31,-737.8600000000006,-6.037047088084653,-916.5300000000007,14265.23,15003.09,-4.918053547635857,2023,1,Jan,-7.378600000000006,-9.165300000000007
2023-02-28,-86.05999999999949,-8.779285142170606,-1332.8500000000004,14179.17,14265.23,-0.6032850504338135,2023,2,Feb,-0.8605999999999949,-13.328500000000004
2023-03-31,717.5300000000007,-8.654069093438444,-1313.8400000000001,14896.7,14179.17,5.060451352230071,2023,3,Mar,7.175300000000007,-13.1384
2023-04-30,-584.7300000000014,-5.729177644752656,-869.7900000000009,14311.97,14896.7,-3.9252317627394078,2023,4,Apr,-5.847300000000014,-8.697900000000008
2023-05-31,-394.0499999999993,-8.32472651392197,-1263.8400000000001,13917.92,14311.97,-2.75328972880742,2023,5,May,-3.9404999999999926,-12.638400000000003
2023-06-30,-4.979999999999563,-9.327442931517819,-1416.0699999999997,13912.94,13917.92,-0.035781208686352296,2023,6,Jun,-0.04979999999999564,-14.160699999999999
2023-07-31,957.6299999999992,-7.570795480892868,-1149.380000000001,14870.57,13912.94,6.883016817437573,2023,7,Jul,9.576299999999991,-11.49380000000001
2023-08-31,-463.53999999999905,-5.639069514996947,-856.1100000000006,14407.03,14870.57,-3.1171636325978023,2023,8,Aug,-4.63539999999999,-8.561100000000007
2023-09-30,-386.6800000000003,-7.650035305524523,-1161.4099999999999,14020.35,14407.03,-2.6839674797650885,2023,9,Sep,-3.8668000000000027,-11.614099999999999
2023-10-31,-454.90999999999985,-10.941287439664439,-1661.08,13565.44,14020.35,-3.24464082565699,2023,10,Oct,-4.549099999999998,-16.6108
2023-11-30,658.75,-11.397624517842466,-1730.3600000000006,14224.19,13565.44,4.856090182109832,2023,11,Nov,6.5875,-17.303600000000007
2023-12-31,20.55999999999949,-6.1719458086545975,-937.0100000000002,14244.75,14224.19,0.14454250118987086,2023,12,Dec,0.2055999999999949,-9.370100000000003
2024-01-31,-1.4400000000005093,-7.415411651876995,-1125.7900000000009,14243.31,14244.75,-0.010108987521722105,2024,1,Jan,-0.014400000000005093,-11.257900000000008
2024-02-29,-463.9300000000003,-9.802354931180576,-1488.17,13779.38,14243.31,-3.2571782822953392,2024,2,Feb,-4.639300000000003,-14.8817
2024-03-31,-317.6700000000001,-12.30542440402167,-1868.1800000000003,13461.71,13779.38,-2.3054012589826254,2024,3,Mar,-3.176700000000001,-18.681800000000003
2024-04-30,576.4000000000015,-12.29297525451595,-1866.2900000000009,14038.11,13461.71,4.281774009394063,2024,4,Apr,5.7640000000000144,-18.66290000000001
2024-05-31,539.0199999999986,-8.783500727188414,-1333.4899999999998,14577.13,14038.11,3.8396906706102074,2024,5,May,5.390199999999986,-13.334899999999998
2024-06-30,359.75,-5.8134234765929635,-882.5799999999999,14936.88,14577.13,2.467906919949263,2024,6,Jun,3.5975,-8.8258
2024-07-31,-39.969999999999345,-3.4802947747823754,-528.3700000000008,14896.91,14936.88,-0.2675926967345212,2024,7,Jul,-0.39969999999999345,-5.283700000000008
2024-08-31,176.65999999999985,-4.629963851358472,-702.9099999999999,15073.57,14896.91,1.1858835154404495,2024,8,Aug,1.7665999999999984,-7.0291
2024-09-30,366.47000000000116,-3.7584291494273967,-575.4700000000012,15440.04,15073.57,2.4312090632809693,2024,9,Sep,3.664700000000012,-5.754700000000012
2024-10-31,574.3399999999983,-1.506999859042316,-241.6200000000008,16014.38,15440.04,3.7198090160388073,2024,10,Oct,5.743399999999983,-2.416200000000008
2024-11-30,824.5700000000015,-2.108245638450858,-354.47999999999956,16838.95,16014.38,5.148934894763341,2024,11,Nov,8.245700000000015,-3.544799999999996
2024-12-31,187.13999999999942,-2.139331785189589,-371.1700000000019,17026.09,16838.95,1.1113519548427866,2024,12,Dec,1.8713999999999942,-3.711700000000019
2025-01-31,169.15999999999985,-2.6777238482727,-464.58000000000175,17195.25,17026.09,0.993534040992382,2025,1,Jan,1.6915999999999987,-4.645800000000017
2025-02-28,522.3199999999997,-2.5960268482998794,-460.7199999999975,17717.57,17195.25,3.037583053459529,2025,2,Feb,5.223199999999998,-4.607199999999975
2025-03-31,134.72999999999956,-3.1099727746859194,-568.869999999999,17852.3,17717.57,0.7604315941745937,2025,3,Mar,1.3472999999999955,-5.688699999999989
2025-04-30,157.97999999999956,-2.8442799505789504,-520.2700000000004,18010.28,17852.3,0.884927992471556,2025,4,Apr,1.5797999999999959,-5.2027000000000045
2025-05-31,622.9400000000023,-1.7003840437066469,-318.83000000000175,18633.22,18010.28,3.4588024172861407,2025,5,May,6.229400000000023,-3.1883000000000177
2025-06-30,-282.6200000000026,-3.817770967874417,-715.8500000000022,18350.6,18633.22,-1.5167534113803336,2025,6,Jun,-2.8262000000000262,-7.158500000000021
2025-07-31,883.8600000000006,-2.4413254707748764,-457.76000000000204,19234.46,18350.6,4.816518260983296,2025,7,Jul,8.838600000000007,-4.577600000000021
2025-08-31,-180.14999999999782,-1.4162835878425293,-273.73999999999796,19054.31,19234.46,-0.9366002476804538,2025,8,Aug,-1.8014999999999781,-2.7373999999999796
2025-09-30,-143.35000000000218,-2.1579517850998946,-417.09000000000015,18910.96,19054.31,-0.7523232276582158,2025,9,Sep,-1.433500000000022,-4.170900000000001
2025-10-31,418.6700000000019,-2.2037733232591843,-432.26000000000204,19329.63,18910.96,2.2139013566736003,2025,10,Oct,4.186700000000019,-4.32260000000002
2025-11-30,-89.22000000000116,-2.516347566652084,-493.5699999999997,19240.41,19329.63,-0.46157117337476794,2025,11,Nov,-0.8922000000000115,-4.935699999999997
2025-12-31,418.9599999999991,-3.297093462092901,-649.1100000000006,19659.37,19240.41,2.1775003755117437,2025,12,Dec,4.1895999999999916,-6.491100000000005
